,riemann,n_components,fold_idx
0,0.135341833946648,1,0
1,0.06318876731968459,1,1
2,0.09197960535705763,1,2
3,0.008280592478110083,1,3
4,-0.09035329921485036,1,4
5,0.06673994140973394,1,5
6,0.08376503563680482,1,6
7,0.06426483304408093,1,7
8,0.05681977824228868,1,8
9,0.033852745213889035,1,9
0,0.07473436194144012,2,0
1,0.09865407797717407,2,1
2,0.10173208852433269,2,2
3,0.08066520545028644,2,3
4,0.1186480121170902,2,4
5,0.062432974129822405,2,5
6,0.062432974129822405,2,6
7,0.10129229106875781,2,7
8,0.07075358377970342,2,8
9,0.16753515585006762,2,9
0,0.031249388987498294,3,0
1,0.09781119803441041,3,1
2,-0.11578054992805265,3,2
3,0.1542545629022588,3,3
4,0.17503841430400935,3,4
5,0.12655480796234986,3,5
6,-0.11578054992805265,3,6
7,-0.004012294836223118,3,7
8,0.1293560598977489,3,8
9,0.06116722879793146,3,9
0,0.09392055603779836,4,0
1,0.08615772198915694,4,1
2,0.13387943094124344,4,2
3,0.09423725361226132,4,3
4,-0.2908211510176666,4,4
5,-0.35675544695890293,4,5
6,0.08752020531795102,4,6
7,0.1306910562992808,4,7
8,0.16112860760863934,4,8
9,0.019886035409645286,4,9
0,0.08066174232912915,5,0
1,0.11710261626935237,5,1
2,-0.08177031809312063,5,2
3,-0.256398852814574,5,3
4,0.15533609281004412,5,4
5,0.24981276558196042,5,5
6,0.14424488441813166,5,6
7,0.16354019773485784,5,7
8,-0.4384158846263062,5,8
9,0.05854981201983778,5,9
0,0.18508233205798774,6,0
1,0.18508233205798774,6,1
2,0.2006513629341029,6,2
3,-0.1514473174107116,6,3
4,0.08583469719138137,6,4
5,0.15937133461243402,6,5
6,-0.3837074315862343,6,6
7,0.11469015418474593,6,7
8,0.16120415885476036,6,8
9,-0.1514473174107116,6,9
0,-0.07769523254369504,7,0
1,0.16231686231252052,7,1
2,0.13341881239490438,7,2
3,-0.07769523254369504,7,3
4,-0.07769523254369504,7,4
5,0.23922153750361008,7,5
6,0.23109733519764386,7,6
7,0.16503290808208515,7,7
8,0.22840086734342724,7,8
9,0.13341881239490438,7,9
0,0.2880762902012708,8,0
1,0.08753154283044562,8,1
2,0.15164935212402464,8,2
3,0.17956486623181944,8,3
4,0.14557255682269687,8,4
5,-0.3476529003421609,8,5
6,0.12422744714460576,8,6
7,0.14285517723284635,8,7
8,0.17379956281088516,8,8
9,0.12203963953449004,8,9
0,0.1450348340561446,9,0
1,0.23662298306059593,9,1
2,-0.06090378384189021,9,2
3,0.12774089896239582,9,3
4,0.18679532906349172,9,4
5,-0.06090378384189021,9,5
6,0.18191964198315147,9,6
7,0.25801740714456856,9,7
8,-0.708648588809276,9,8
9,0.23662298306059593,9,9
0,0.17120213671796058,10,0
1,0.21825526362338288,10,1
2,0.19119156311803642,10,2
3,0.07983514735199826,10,3
4,0.19338055266840337,10,4
5,0.2829486175998379,10,5
6,0.28562152788463857,10,6
7,0.28562152788463857,10,7
8,0.22191252130923333,10,8
9,0.23884229220914177,10,9
0,0.11834016937637348,11,0
1,0.1897087810245196,11,1
2,0.1519711815952598,11,2
3,-0.3840076892615609,11,3
4,0.17128193120343393,11,4
5,-0.3840076892615589,11,5
6,0.20028359614053293,11,6
7,-0.04840537491071828,11,7
8,0.16429815142674786,11,8
9,0.22768464890004225,11,9
0,0.14520250161273263,12,0
1,0.19839330917010756,12,1
2,0.10810258512582638,12,2
3,0.006868983528110162,12,3
4,0.1484208719265382,12,4
